finale 	[sound:youdao-eb98c73e-add0b6bb-d50e4114-f7daf212-9852bdba.mp3]	[fɪ'nɑːlɪ; -leɪ]	n. 結局；終曲；最後一場；最後樂章；尾聲 n. (Finale)人名；(英)菲納利；(意、西)菲納萊	The Orioles rebounded to win in 10 innings on Tuesday night before coasting in the finale.			
everlasting 	[sound:youdao-4a8381e4-1b282262-aa49983c-c40fe961-9bfa9b83.mp3]	[evə'lɑːstɪŋ]	adj. 永恆的；接連不斷的	He was synonymous with hard work and an attitude which was everlasting and committed.			
blinking 	[sound:youdao-26b5760c-a7f005fc-dc1ef7ba-ead48d8e-c4174570.mp3]	['blɪŋkɪŋ]	adj. 眨眼的；閃光的；可惡的；十足的；一眨眼的 v. 眨眼睛；閃閃發光；對…視而不見（blink的ing形式） adv. 非常；十足 n. 閃爍；瞬目	Babies usually respond negatively to sourness too by wrinkling their noses, blinking, and pursing their lips.			
close-knit 	[sound:youdao-a44c1795-695314a0-c0080546-b6e7e604-0da59454.mp3]	['kləus'nit]	adj. 緊密的；嚴謹的；緊密結合著的	Not alone but as part of family, of something larger yet even more close-knit.			
firewall 	[sound:youdao-7a0beefa-27ef206f-176fd361-0b3fc8d3-fcefa48f.mp3]	['faɪɚwɔl]	n. 防火牆 vt. 用作防火牆	The Constitution deliberately was written to be a firewall to prevent power grabs just like this.			
coy 	[sound:youdao-54d21a56-8aa02757-8d3a9e59-ee2aed5d-78c93cf6.mp3]	[kɒɪ]	adj. 靦腆的；忸怩作態的；怕羞的 vi. 忸怩作態 vt. 愛撫 n. (Coy)人名；(法)庫瓦；(英、德、西)科伊	Mrs Clinton has been coy about a possible White House run in four years' time.			
chisel 	[sound:youdao-091e5a2f-d7ab3c7e-f17b2740-05bb5601-e9787292.mp3]	['tʃɪz(ə)l]	vt. 雕，刻；鑿；欺騙 vi. 雕，刻；鑿；欺騙 n. 鑿子	Find a place that has been pre-chiseled, to give your chisel a better grip.			
crosswise 	[sound:youdao-38e408d1-8c8e6075-74d66a7b-6e6e7af7-0158e06e.mp3]	['krɒswaɪz]	adv. 橫向；交叉地；斜地；成十字狀地	After halving the baguette lengthwise, cut it crosswise into quarters, to produce eight bread segments.			
surreptitiously 	[sound:youdao-e6fb7c46-bf99a767-d8e7d82f-9c4ac7ce-6e31a7be.mp3]	[,sʌrəp'tiʃəsli]	adv. 偷偷地；秘密地；不正當地	Basically, governments surreptitiously default by printing money in order to pay off their debt.			
axiom 	[sound:youdao-42831365-95b5213e-a125e6ca-eeb7ac14-1129e5e2.mp3]	['aksɪəm]	n. [數] 公理；格言；自明之理	It's an axiom of Chinese culture that a prudent man saves 40% of his net income.			
rile 	[sound:youdao-4f8984d6-1b95000f-48269189-2cf901af-784f166d.mp3]	[raɪl]	vt. 激怒；攪渾；惹怒 n. (Rile)人名；(塞)裡萊	What seemed to really rile people was the council did not shift one iota.			
implausible 	[sound:youdao-1720f3a2-34add9ad-f1009f5b-56f3e737-6f63768e.mp3]	[ɪm'plɔːzɪb(ə)l]	adj. 難以置信的，不像真實的	The idea of westerners coming in to help run Russian cities, or even whole regions, still seems implausible.			
sensuality 	[sound:youdao-226be8e8-02c82247-7ed37ed8-c54adda2-cb2314b0.mp3]	[sensjʊ'alɪtɪ; senʃʊ-]	n. 好色；淫蕩；喜愛感官享受	They are air-conditioning for the soul, wines of insouciant, shed-the-sweater sensuality, the sports drink of Mediterranean seductions.			
red-hot 	[sound:youdao-8d99f3ac-8aadd0b3-823bc922-dfcd3135-fa3f9afe.mp3]	['red'hɔt]	adj. 熾熱的；最新的；熱烈的；非常激動的 n. 熱狗；法蘭克福香腸	Investments flowed into funds on the strength of equity markets and the red-hot commodities and energy markets.			
tout 	[sound:youdao-c174680c-540e2b36-2b76ada7-426dea62-e78caf31.mp3]	[taʊt]	vt. 兜售；招徠；刺探賽馬情報 vi. 兜售；招徠顧客；拉選票 n. 偵查者；兜售者 n. (Tout)人名；(英)陶特	The regulators tout them as the largest fines ever levied against a foreign-based audit firm.			
stilt 	[sound:youdao-5ffe7868-0696e55c-5da8856e-e7d950d5-8c274b94.mp3]	[stɪlt]	n. 高蹺；支柱，支撐物 vt. 使踏上高蹺	Cape Hatteras stilt house, is impressively grand in spite of all the raw wood and cement.			
whereupon 	[sound:youdao-336aa03a-280054ab-502cdc12-6ee4eae1-cd439114.mp3]	[weərə'pɒn]	conj. 於是 adv. 因此	You never really notice this until you leave the country, whereupon the white noise suddenly stops.			
absolve 	[sound:youdao-b730498c-a762aafe-a8976d77-692a27a3-bbafee95.mp3]	[əb'zɒlv]	vt. 免除；赦免；宣告…無罪	But can winning absolve an athlete of his or her glaring sins and lapses in judgment?			
pompous 	[sound:youdao-401f7672-90107ea8-60af48ed-0216580f-b6fb41ba.mp3]	['pɒmpəs]	adj. 自大的；浮誇的；華而不實的；愛炫耀的	We don't want lavish, pompous weddings, much better to have a private and dignified affair,  he said.			
chromium 	[sound:youdao-3390823b-b856c5bf-49a1f17b-ea546ccf-32a6cabc.mp3]	['krəʊmɪəm]	n. [化學] 鉻（24號元素，符號Cr）	Chrome OS, and its open-source sibling, Chromium OS, are Google's answer to the desktop computer.			
yearly 	[sound:youdao-8b6deeec-712fd129-56d4d7de-9f1804e9-f321894c.mp3]	['jɪəlɪ; 'jɜː-]	adj. 每年的 adv. 每年；一年一次 n. 年刊；年鑒	In 2002, MyGoodDeed launched the day as a yearly tribute of charitable service.			
prohibited 	[sound:youdao-deefe929-b6c778d3-d8d19088-1a14a506-d6437660.mp3]	[prə(ʊ)'hɪbɪtɪd]	v. 禁止（prohibit的過去分詞形式） adj. 被禁止的	The problem: Under current law, resale of securitized leases is prohibited — meaning the instruments are totally illiquid.			
drive-by 	[sound:youdao-1c38ef46-ef7d037b-255653af-ccc184ce-e7bf29e9.mp3]	['draiv,bai]	n. 歹徒由所駕車中開槍；開車經過 adj. 順路的；飛車而過的	These drive-by download attacks can infect personal and business computers alike with all types of malware.			
stew 	[sound:youdao-f25ac3b1-91400b8d-e1ffe929-bbd3908d-2a99800b.mp3]	[stjuː]	vt. 燉，燉湯；燜；憂慮；受悶熱 n. 燉，燉湯；煩惱；悶熱；魚塘 vi. 燉，燉湯；燜；受悶熱；憂慮 n. (Stew)人名；(英)斯圖	Mug-Shot — the smokiest bar in Wasilla — was serving moose stew, supposedly Palin's favorite dish.			
optimization 	[sound:youdao-67924c52-83f55838-04a3027e-a43068d6-717e82a5.mp3]	[,ɒptɪmaɪ'zeɪʃən]	n. 最佳化，最優化	This week we will get advice on Marketing, Technology, Search Engine Optimization, and Bookkeeping.			
overheated 	[sound:youdao-0082359d-29209164-f0751a78-72f5e5a3-dc017c62.mp3]	[,ovɚ'hitɪd]	adj. 過熱的；怒火中燒的 v. 使…過熱；使…憤怒（overheat的過去分詞）	You'll need a cool head if the bidding gets overheated, but the boats have clear title.			
beau 	[sound:youdao-641e326e-58552ec1-5dbfeb6e-70f31d52-7d7111cf.mp3]	[bəʊ]	n. 花花公子；喜修飾者；情郎 adj. 美的；好的 n. (Beau)人名；(英、德、法、葡)博	Rookie Beau Bennett, grinder Tanner Glass and defenseman Kris Letang also scored for Pittsburgh.			
taper 	[sound:youdao-f144f4f7-629c3df9-1c4012da-a9af3efa-83b91089.mp3]	['teɪpə]	n. 細蠟燭，燭芯；逐漸變弱；錐形物 vi. 逐漸減少；逐漸變弱 vt. 逐漸減少；使成錐形	People who taper off the medication too quickly are more likely to have a relapse.			
nullify 	[sound:youdao-d0a2992e-e0526d85-9e0cedb4-8c710cd8-93e35c82.mp3]	['nʌlɪfaɪ]	vt. 使無效，作廢；取消	Across the country, dozens of bills have been introduced to nullify federal firearms laws alone.			
psychedelic 	[sound:youdao-5cc08da1-8389bce2-1acdda94-8c8e05af-b5791614.mp3]	[,saɪkə'delɪk; -'diːlɪk]	adj. 引起幻覺的 n. 迷幻劑	For thirty years, Australia's The Church has produced music along the lines of New Wave, psychedelic, progressive-rock.			
distil 	[sound:youdao-f0d34b66-f5dbbaed-fd5dd4bc-08c4e418-283953a7.mp3]	[dis'til]	vi. 蒸餾；提煉；滲出 vt. 蒸餾；提取…的精華；使滲出	Interviewed in a television studio, they were taught to distil complex research ideas into fifteen second snapshots for public consumption.			
crucify 	[sound:youdao-36560069-509273dc-a541b065-b9b1a37f-bbdf26b5.mp3]	['kruːsɪfaɪ]	vt. 折磨；十字架上釘死；克制	Some of the journalists taken in by him are now eager to crucify him.			
garish 	[sound:youdao-acc36555-a66f6c7f-36cec8f5-dbe375de-8d72506a.mp3]	['geərɪʃ]	adj. 炫耀的；過分裝飾的；過分鮮艷的	The garish filigree of the gonzo director, Terry Gilliam, surrounds this fable of redemption with pseudo-originality.			
malt 	[sound:youdao-f9cf3176-d51a4f89-5ae38ce6-e1c1d66b-e71b8242.mp3]	[mɔːlt; mɒlt]	n. 麥芽；麥芽酒 adj. 麥芽的；含麥芽的，用麥芽作的 vt. 用麥芽處理 n. (Malt)人名；(俄)馬爾特	This is a sweet to enjoy straight, unembellished, the way you might a complex single-malt Scotch.			
washed 	[sound:youdao-d36fa6bc-ad763968-40144b6f-a0113cfe-ff21c537.mp3]	[wɔʃt]	adj. 洗過的 v. 洗，洗滌（wash的過去分詞）	Not so lucky were the shipwrecked crew of an unknown vessel washed up in 1860.			
regrettably 	[sound:youdao-b82fc0b2-6591fad3-c09db890-6e081cc5-821c001b.mp3]	[ri'ɡretəbli]	adv. 遺憾地；抱歉地；可悲地	Analysts say that Chinese authorities have regrettably backtracked from their openness exhibited during the Dalian disaster.			
alchemy 	[sound:youdao-adaf8c44-e2aff6f9-5ef37b45-08eb72c7-0b4a499e.mp3]	['alkɪmɪ]	n. 點金術；魔力	Yes, the alchemy is foggy, but the lesson is clear: Bet on John Malone.			
condor 	[sound:youdao-fdc814f5-1a0032aa-4e125c42-8f69ce22-d202acf9.mp3]	['kɒndɔː]	n. 禿鷲，禿鷹 n. (Condor)人名；(法、西、羅)孔多爾	The museum's Prof Holger Steinle showed me the aluminium tail section of a Focke Wulf Condor.			
materialistic 	[sound:youdao-267a4114-dc69b9a8-1dc6953c-c28b2bae-f4db8517.mp3]	[mə,tɪərɪə'lɪstɪk]	adj. 唯物主義的；唯物論的；金錢至上的	Both materialistic evolution and divine creation are natural philosophies, what the Greeks called metaphysics.			
freelance 	[sound:youdao-efb68e24-303b1d78-70e28000-8836779d-8787bdcc.mp3]	['friːlɑːns]	n. 自由作家；自由記者 adj. 自由投稿的	That's the prediction of Nobel enthusiast and freelance writer Tatiana Divens of Vienna, Virginia.			
mighty 	[sound:youdao-dc764965-9c5c528f-9e784b70-ef0c2f92-7369b1e7.mp3]	['maɪtɪ]	adj. 有力的；強有力的；有勢力的 adv. 很；極；非常 n. 有勢力的人	Sharma gave the crowd something to cheer with a mighty 90 metre swipe over mid-wicket.			
through 	[sound:youdao-bf2905a2-a3b99d40-4f606dfd-7e1e1d1b-43a62454.mp3]	[θruː]	prep. 通過；穿過；憑借 adv. 徹底；從頭至尾 adj. 直達的；過境的；完結的	Think of retirees directly purchasing this soon-to-be toxic paper, either directly or through fund vehicles.			
splitting 	[sound:youdao-98e2ff89-f2018582-397c5bc0-b274d04a-eb3a47ac.mp3]	['splɪtɪŋ]	adj. 極快的；爆裂似的，劇烈的；滑稽的 v. 裂開（split的現在分詞）	Mr. JEFF DANIELS (Actor): (As Bernard Berkman) We're splitting up the week, alternating days.			
rail 	[sound:youdao-e77f7599-fe06e27a-b87d2dd3-3f936bef-144db833.mp3]	[reɪl]	n. 鐵軌；扶手；橫桿；圍欄 vi. 抱怨；責罵 vt. 鋪鐵軌；以橫木圍欄	Meanwhile, rail fares in West Yorkshire are rising by 6.2% - more than the national average.			
centralize 	[sound:youdao-70e54fef-330562c2-3f292b59-69da51a3-fc9a90f5.mp3]	['sɛntrəlaɪz]	vt. 使集中；使成為…的中心；使集權 vi. 集中；實行中央集權	That would make the NBA the first major sports league to largely de-centralize its Web operation.			
tubular 	[sound:youdao-be1933cc-b563a837-16d1f1ab-dc9a5112-58a01775.mp3]	['tjuːbjʊlə]	adj. 管狀的	The tubular steel Adler bicycle he used to scoot around the Bauhaus campus back in Germany.			
exasperate 	[sound:youdao-e810cd86-3589176b-1dec222c-571299e2-089f184a.mp3]	[ɪg'zasp(ə)reɪt; eg-]	vt. 惡化；使惱怒；激怒	That is starting to exasperate the United States, hitherto studiously cautious towards Mr Chavez.			
profusely 	[sound:youdao-afad18ba-f13db5c0-a3eeeeb0-aacfe656-8c2e0387.mp3]	[prə'fju:sli]	adv. 豐富地	He never said a word, but before our eyes he started to sweat profusely.			
digger 	[sound:youdao-58c9df94-3935d9ce-a043ade1-33a541ce-61597cb3.mp3]	['dɪgə]	n. 挖掘機；挖掘者；礦工；以色相騙錢的女人；扒手	The digger firm said it eventually hoped to teach 540 students from Staffordshire and Derbyshire.			
riverboat 	[sound:youdao-062160b8-e6abccba-8693a188-303b5350-c5a09e95.mp3]	['rɪvəbəʊt]	n. 江輪；內河船隻	Later he built Embassy Suites and Marriotts, and invested in IMAX theaters and riverboat gambling.			
necktie 	[sound:youdao-86141364-8fd6c02e-574d5670-9401772a-7faf5638.mp3]	['nektaɪ]	n. 領帶	Certainly his look has changed: instead of the scarf there is a patterned necktie.			
devotional 	[sound:youdao-15c28152-f0208b99-b15f1591-57b1054c-2ce4ffd0.mp3]	[dɪ'vəʊʃənl]	adj. 虔誠的，禱告的；信仰的；獻身的	Balancing these are numberless images of devotional scenes, the Nativity, the Madonna and other religious figures.			
kink 	[sound:youdao-a4e8cd01-d3cbd120-3d396749-9c047f5c-854546cf.mp3]	[kɪŋk]	n. 扭結；奇想；蜷縮 vi. 扭結 vt. 使扭結 n. (Kink)人名；(瑞典)欣克	In any case, such a change would put a major kink in getting new drugs approved.			
old 	[sound:youdao-ea8ba6f5-4b9c90ae-f65860bb-a5920c81-6920959d.mp3]	[əʊld]	adj. 陳舊的，古老的；年老的 n. 古時 n. (Old)人名；(英)奧爾德	In February, a 20-year-old mother accused of sorcery was burned alive in a village market.			
grating 	[sound:youdao-686c7125-49454e3f-861c2b2e-438a434e-2a830221.mp3]	['greɪtɪŋ]	adj. 刺耳的；磨擦的 n. [光] 光柵；摩擦，摩擦聲；格子 v. 磨碎；擦響；激怒（grate的ing形式）	It's not terribly grating, especially once you start hearing some engine noises, but it is noticeable.			
shoddy 	[sound:youdao-4d47de74-25b0df9a-2acce30e-b8e5000a-efc113d2.mp3]	['ʃɒdɪ]	n. 贗品；冒牌貨；假裝粗俗 adj. 假冒的；劣質的；卑劣的	The government seized Superior in 2000 after it collapsed because of poor lending practices and shoddy bookkeeping.			
decorum 	[sound:youdao-3313a258-6d2a7c23-a9d674e2-747fa56e-f1132f37.mp3]	[dɪ'kɔːrəm]	n. 禮儀；禮貌；端正；恪守禮儀	The Brown Palace does take precautions to keep a sense of decorum during livestock appearances.			
halibut 	[sound:youdao-69161959-76c5d534-f961590c-8097b276-681a5e2f.mp3]	['halɪbət]	n. [魚] 大比目魚（複數halibut）	If it is Cornish brill or local halibut you are after, this is your spot.			
drowsy 	[sound:youdao-e260326c-3131340a-eb8ac037-05f8fb4e-c39add02.mp3]	['draʊzɪ]	adj. 昏昏欲睡的；沉寂的；催眠的	Drowsy drivers often make it safely to their destination, but for some, the consequences are devastating.			
scriptural 	[sound:youdao-c46aceb1-64fb8231-154ba1de-ed9f6630-7c42ef38.mp3]	['skrɪptʃərəl]	adj. 聖經的；手稿的；依據聖經的	Yet with younger clerics such as Mr Ghamdi doubting the scriptural grounds for making women rely on male drivers, other arguments are looking flimsier.			
floured 	[sound:youdao-a029048b-77d75391-c730ef72-f9c7fb96-9d8f39b9.mp3]	['flauə]	粉質的；撒上粉的；粉狀的；磨碎的	To prepare each pizza, place a ball of dough on a lightly floured surface.			
millisecond 	[sound:youdao-13d4fb96-52958d08-e08a09f7-c12f7de0-60c2c670.mp3]	['mɪlɪsek(ə)nd]	n. 毫秒	One stream after another, every millisecond after the next, someone has something to say.			
Quaker 	[sound:youdao-e1357045-e5e6a16f-f363b8d8-4b647128-eab3acb1.mp3]	['kweikə]	n. 教友派信徒；貴格會教徒	It's a strategy pioneered by Quaker State's former chairman, Herbert Baum, albeit with mixed results.			
officiate 	[sound:youdao-ca3089f0-732fabcd-3554d77e-825e6e67-bf457bb8.mp3]	[ə'fɪʃɪeɪt]	vt. 主持（儀式）；行使（職務）；擔任裁判 vi. 執行職務；主持宗教儀式；當體育比賽裁判	Am I troubled by stepping outside of my faith to officiate at a wedding?			
jeez 	[sound:youdao-47af566d-a0549d09-d4d3daa7-bc3bcf2e-2232e002.mp3]	[dʒi:z]	int. 呀	Having just witnessed the tech meltdown I had to wonder, jeez, just how much more lax can you get?			
squabble 	[sound:youdao-dd8178d1-2368d473-44aa89d7-a6338dd0-fefe385b.mp3]	['skwɒb(ə)l]	vi. 發生口角；大聲爭吵 vt. 弄亂（排好的鉛字） n. 爭吵；口角	One thing Peter Bone won't squabble about is that Mr Clegg is the problem.			
spilled 	[sound:youdao-f626c8e9-383080cc-22d1696c-271c967d-092cc997.mp3]	[spil]	溢出	Aereo officially spilled over from the law courts into the court of public opinion.			
matinee 	[sound:youdao-69c69ad8-9ad3922f-80684ec4-513f1073-06b15fa1.mp3]	['matɪneɪ]	n. 白天舉行的音樂會；婦女便裝之一種	My face cannot fit on the television screen,  the 63-year-old former matinee idol moans.			
gallant 	[sound:youdao-57f1c82e-d4444f01-e668b596-6ee85147-5198c669.mp3]	['gal(ə)nt; gə'lant]	adj. 英勇的，勇敢的；華麗的；雄偉的 n. (Gallant)人名；(法)加朗；(英)加倫特	The workers, the workers—these gallant, dignified men who were our entire reason for existing.			
wedlock 	[sound:youdao-5c4221e2-8a2065b9-60956e0f-ff302fc9-f4c52b93.mp3]	['wedlɒk]	n. 婚姻；已婚狀況 n. (Wedlock)人名；(英)韋德洛克	Back in 1965, 25% of black children were born out of wedlock, nearly one-third fewer.			
inasmuch 	[sound:youdao-bf023233-ee2b7112-8169dbaf-00cbc31c-1e2fead9.mp3]	[ɪnəz'mʌtʃ]	adv. 因……之故；由於……	The development of these finds will help Dow, said Liveris, inasmuch as they reduce price volatility.			
co-chairman 	[sound:youdao-12d8fe1e-1027088a-d0f64f4c-9d818821-713febac.mp3]	[kɔ'tʃɛəmən]	n. 聯合主席；共同主席				
unmatched 	[sound:youdao-0c7b945c-89fb0696-a017692a-e04cb819-5f0caa87.mp3]	[ʌn'matʃt]	adj. 無與倫比的；不相配的；無匹敵的	However, the technology and innovation we are developing for manufacturing automation, processes and materials is unmatched.			
weeping 	[sound:youdao-1a81667e-05ca1491-dba119da-6b5f480d-843b2880.mp3]	['wiːpɪŋ]	adj. 哭泣的，滴水的；垂枝的 n. 哭泣 v. 哭泣；悲痛；哀悼（weep的ing形式）	The gas was too strong and we could not stay in the lounge without weeping.			
eon 	[sound:youdao-2142eec8-3b843f81-97755c10-d9e2b911-e13c5438.mp3]	['iːən]	n. 永世；無數的年代；極長時期 n. (Eon)人名；(法)埃翁	AorTech said Elast-Eon was also more compatible with imaging technology used in tumor screening.			
coast 	[sound:youdao-29073c87-83e9a9c5-cb9646e6-0f7f5a3b-c399c904.mp3]	[kəʊst]	vi. 滑行；沿岸航行 vt. 沿…岸航行 n. 海岸；滑坡 n. (Coast)人名；(英)科斯特	Even central Austin seems rather spread out and suburban compared to traditional East Coast cities.			
gargantuan 	[sound:youdao-f4eb70cd-18d0db82-7c934f81-380893c5-d4c4b6c2.mp3]	[gɑː'gantjʊən]	adj. 龐大的，巨大的	The company's gargantuan volume allows it to keep costs below many of its competitors.			
suffuse 	[sound:youdao-eef55fb7-459f9c3c-e6876815-17bc9e67-0f397a29.mp3]	[sə'fjuːz]	vt. 充滿；瀰漫	Rough hulls of young wood suffuse the workshop with a rich and resinous fragrance.			
lawless 	[sound:youdao-98369004-abc02f42-0ed8f5d2-83f196ec-db2f4b05.mp3]	['lɔːlɪs]	adj. 非法的；無法律的 n. (Lawless)人名；(英)勞利斯	DiFava replaces Joseph Lawless, who was reassigned to oversee security at the Port of Boston.			
checkered 	[sound:youdao-c50a4f71-f0657544-90f4df22-8496ddb2-1910ed22.mp3]	['tʃekəd]	adj. 多變的；有方格的；多波折的 v. 使交錯；使交替變化（checker的過去分詞）	Washington Mutual is the latest blowup in a checkered history of savings and loan disasters.			
aquaculture 	[sound:youdao-37769a7c-62915b07-06b6342b-8b8f56f0-2e1b7016.mp3]	['akwəkʌltʃə]	n. [水產] 水產養殖；水產業	Asian carp were imported in the 1970s to cleanse Deep South aquaculture and sewage treatment ponds.			
corona 	[sound:youdao-1eefe2b4-94b6bd3d-7f8add87-8a7a92dc-87560de5.mp3]	[kə'rəʊnə]	n. [物] 電暈；日冕；冠狀物 n. (Corona)人名；(羅、葡、西、意、英)科羅納，科羅娜(女名)	This article was written by Rose Corona a small business entrepreneur, rancher, farmer and philanthropist.			
signifier 	[sound:youdao-627bb105-9343c7b0-93c97456-29f80bba-cd57ccda.mp3]	['sɪɡnɪfaɪɚ]	n. 信號物，記號；表示者	The head of Diageo for Africa, Nick Blazquez, says that Johnnie Walker is a useful signifier of success.			
spite 	[sound:youdao-9a3fbedc-dc4e3209-a6e9f37f-f5248fe0-4a12b30d.mp3]	[spaɪt]	n. 不顧；惡意；怨恨 vt. 刁難；使惱怒	In spite of his low approval ratings, a huge majority of registered voters opposed the recall.			
unconcerned 	[sound:youdao-3738c0ba-df44da11-3a3a1456-26a60810-93115803.mp3]	[ʌnkən'sɜːnd]	adj. 不關心的；無關的；無憂慮的	Two lumber out and splash into the river, unconcerned by the presence of humans in a canoe.			
retard 	[sound:youdao-faff42b7-dab07e60-68facf6a-d972a230-00a5d0ad.mp3]	['rɪtɑːd]	vt. 延遲；阻止；妨礙；使減速 vi. 減慢；受到阻滯 n. 延遲；阻止	But at least we all know what happens when the global ponzi goes full retard.			
hyperbole 	[sound:youdao-04f819be-0ad4226c-42c20d68-ef75e824-a1f6240a.mp3]	[haɪ'pɜːbəlɪ]	n. 誇張的語句；誇張法	In the meantime I have some catching up to do and will work on my hyperbole.			
theorem 	[sound:youdao-7fb2957a-aa3d88ea-4fc0bc4f-5d8211aa-6a3786b3.mp3]	['θɪərəm]	n. [數] 定理；原理	Proofs like Wiles brilliant solution of the famous Fermat Last Theorem are long and difficult.			
considerate 	[sound:youdao-27a29310-da10d904-88ecba28-fbc9c577-1f63f08a.mp3]	[kən'sɪd(ə)rət]	adj. 體貼的；體諒的；考慮周到的	James never had a bad word to say about anyone and was so kind and considerate.			
gawk 	[sound:youdao-a6be7ebb-4b0b1901-ae7e9eec-601b0970-fbf62ed9.mp3]	[gɔːk]	n. 呆子；靦腆的人 vi. 呆呆地看著	You have turned your inner misfit inside out, for the world to gawk and stare at.			
tribulation 	[sound:youdao-cdd64815-24622ba8-6f1a4831-1364738a-21ba8b34.mp3]	[,trɪbjʊ'leɪʃ(ə)n]	n. 苦難；磨難；憂患	Success is a nice feeling, especially when it comes after tribulation,  she says.			
bowler 	[sound:youdao-272a2ae2-2322b180-13d78fab-2ae2c679-7018bf73.mp3]	['bəʊlə]	n. 圓頂禮帽；投球手；玩滾球的人 n. (Bowler)人名；(英)鮑勒	The hosts found the going difficult in bowler-friendly conditions, justifying Bangladesh's decision to bowl first.			
lockout 	[sound:youdao-a3baf061-737211e0-ea136e3c-febb158f-7ab7f64e.mp3]	['lɑkaʊt]	n. 停工；[計][自] 封鎖	Following a year-long lockout, Kobe would enter the 2011 regular season at 33 years old.			
second-generation 	[sound:youdao-d6983097-a712751a-457dd4e3-c5db26dd-9e319fc3.mp3]	['sekənd,dʒenə'reʃən]	n. 第二代	The family undergoes screening, the best second-generation candidate is chosen and the process is repeated.			
inflexible 	[sound:youdao-cf5f642f-70b3492f-140bc2d8-e785bef6-16259117.mp3]	[ɪn'fleksɪb(ə)l]	adj. 頑固的；不可彎曲的；不屈撓的；不能轉變的	It's been clear since the 1970s that the class system was becoming more inflexible.			
docking 	[sound:youdao-3ef6744f-f2e23656-fe0f2528-59e5eed1-bc491c14.mp3]	['dɒkɪŋ]	n. 入塢 adj. 入塢的 v. 入港；為…設置船塢（dock的ing形式） n. (Docking)人名；(英)多金	Today the world of brand licensing has become a kind of elaborate docking exercise.			
nominally 	[sound:youdao-93314d1a-4382e922-10cfc400-6624db1f-f0a44f38.mp3]	['nɒmɪnəlɪ]	adv. 名義上地；有名無實地	In this nominally austere society, alcohol is consumed widely, even though it is illegal for Muslims.			
inquisitive 	[sound:youdao-f15db6c3-9de7c75b-b120272d-f219dff2-9b4eef78.mp3]	[ɪn'kwɪzɪtɪv]	adj. 好奇的；好問的，愛打聽的	In the 19th century, economics was a pastime of inquisitive gentlemen, a branch of philosophy.			
gendered 	[sound:youdao-77f150a9-f44dbcd6-546ea819-00fecc94-afdfb732.mp3]	['dʒendəd]	adj. 依照性別而分類的	Specifically, how is internal adaptation in employment practices linked to external shifts in gendered beliefs and practices?			
goddamn 	[sound:youdao-7b5d9988-0911b011-edaee1c3-81491c53-ce729629.mp3]	['ɡɒd'dam]	adj. 該死的；討厭的；受詛咒的	Now I've got to get the computer fixed to get my goddamn windows up,  Maher said.			
unsustainable 	[sound:youdao-4c3be238-1a2d647b-713938b8-ab6e7c2f-f68b00d1.mp3]	[ʌnsə'steɪnəb(ə)l]	adj. 無法支撐的；不可證實的；不能成立的	During the last Administration, spending on contracting skyrocketed at an unsustainable pace while oversight staff remained flat.			
uptown 	[sound:youdao-05d18543-0f88bb1b-c2910554-bb0f641f-20175953.mp3]	['ʌptaʊn]	n. 住宅區 adj. 住宅區的 adv. （美）在住宅區；（美）在城鎮非商業區	Living in uptown New Orleans, Jacobs saw Katrina damage firsthand - his place was crushed by a tree.			
velvety 	[sound:youdao-73a2e8c4-4c153144-2d5be4f5-864c19c5-3cc3ff2e.mp3]	['velvɪtɪ]	adj. 天鵝絨般柔軟的；醇和的，可口的	The outside, with its woody shell and velvety green coating, admittedly offers the more attractive vista.			
shuffle 	[sound:youdao-cc85bdec-72a3d3df-ff176f37-6ab4ef73-5fa6dc97.mp3]	['ʃʌf(ə)l]	v. 洗牌；推諉，推卸；拖曳，慢吞吞地走；攪亂 n. 洗牌，洗紙牌；混亂，矇混；拖著腳走	The Ali shuffle, once a prelude to devastating one-two punches, now mean something entirely different.			
uplift 	[sound:youdao-bbfb71b9-631e39f4-ccf351dd-7fe1abe7-3e1a1a47.mp3]	[ʌp'lɪft]	vt. 提高；抬起 vi. 提高；上升；升起 n. 舉起，抬起；道德的向上；精神的高漲	Vince Gill, for one, wasn't going to let that stop him from his mission of uplift.			
knitting 	[sound:youdao-117a57db-6de50bca-5b6d8574-97912b5c-5803d839.mp3]	['nɪtɪŋ]	n. 針織；編織物；[外科] 骨癒合 v. 編織；皺眉（knit的ing形式）	The Knitting Circle has a cast of eight which includes two British Sign Language speakers.			
CPA 	[sound:youdao-5c170222-94ab4c7f-5c51e31f-14a5c412-a3345be8.mp3]	[,si pi 'e]	abbr. 註冊會計師（Certified Public Accountant）；民間財產代理人（Civilian Property Agent）；英聯邦議會協會（Commonwealth Parliamentary Association）；每次激活的費用 (Cost per Action)	Dreyling, who says he did consult his CPA, has appealed to the Minnesota Supreme Court.			
frailty 	[sound:youdao-44f646c5-5e81e23e-4c0a54f8-89e15947-9591ea7d.mp3]	['freɪltɪ]	n. 虛弱；弱點；意志薄弱	Older people are all individuals with differing levels of frailty, mental attitude, and support.			
mathematically 	[sound:youdao-2b92e99f-b8a5f08b-671f023f-0cfbedc3-8dc8d3ec.mp3]	[maθə'matɪkəli]	adv. 算術地，數學上地	Six benefits packages to choose from, each with seven columns of mathematically complicated information.			
